epoch,train_loss,val_loss,val_roc_auc_score
1,0.7313539385795593,0.6742817759513855,0.556875
2,0.6682127416133881,0.681774377822876,0.65125
3,0.6431474089622498,0.6740648150444031,0.67875
4,0.6355471909046173,0.6541234850883484,0.686875
5,0.6211723983287811,0.6325514912605286,0.686875
6,0.6029284000396729,0.6196698546409607,0.688125
7,0.5936652421951294,0.6142157912254333,0.694375
8,0.600304514169693,0.6080528497695923,0.698125
9,0.6036177277565002,0.6080374717712402,0.701875
10,0.6103174686431885,0.6145281195640564,0.6993750000000001
11,0.5835069119930267,0.6231683492660522,0.693125
12,0.5446842014789581,0.638079822063446,0.69
