epoch,train_loss,val_loss,val_roc_auc_score
1,0.6435351798853536,0.6389420032501221,0.6815870067553373
2,0.6311864735573296,0.6400066018104553,0.6908355169325682
3,0.6302094487693366,0.6419596672058105,0.6960429865003815
4,0.6286576742262352,0.6494159698486328,0.6902329541057193
5,0.6247283267223929,0.6492049694061279,0.6993100932037547
6,0.6242266884000283,0.6232782602310181,0.709625526551461
7,0.6235116868037877,0.6201484203338623,0.7101838645836789
8,0.6200291749060624,0.6270314455032349,0.7121573960440921
9,0.6124261181185565,0.6632585525512695,0.7211571417515229
10,0.6023018097314309,0.6228193044662476,0.7356794586885137
11,0.5740514313142131,0.5895509719848633,0.7924696230941878
12,0.5341918344103446,0.5516168475151062,0.8126858823399338
13,0.506007364650411,0.5133588314056396,0.8275730538326312
14,0.4897181297850421,0.5395984053611755,0.8389719946487998
15,0.47489058478610724,0.5308657288551331,0.8359038995212665
16,0.46287395282993166,0.5355506539344788,0.8455117361548753
17,0.44713438261212324,0.4898805320262909,0.8433004964233197
18,0.4347558692684324,0.4869924783706665,0.8390051632447733
19,0.4108752652885407,0.4763029217720032,0.8380653863588621
20,0.3935456220793912,0.5243144035339355,0.8232943049520713
21,0.3720591016641752,0.544120728969574,0.8261799728017514
22,0.34812348412247157,0.5259127020835876,0.8189658031775515
23,0.31951412593755196,0.5416549444198608,0.8186341172178182
24,0.3003559071482636,0.5121970772743225,0.8107068227801917
25,0.28969561161957386,0.5005619525909424,0.8139352327882627
26,0.25553707778453827,0.5644541382789612,0.8076774243479605
