epoch,train_loss,val_loss,val_roc_auc_score
1,0.6545998860919287,0.6586510539054871,0.6728025628611749
2,0.6382252536122761,0.6510604023933411,0.6639798514611811
3,0.6370607340146625,0.6567266583442688,0.6653962236941048
4,0.6341807364471375,0.6615543961524963,0.6669619588170459
5,0.6308601720938607,0.6548938751220703,0.6656949494741395
6,0.6306905902567363,0.6502343416213989,0.6655816396955058
7,0.6274292260881454,0.6549832820892334,0.6676418174888493
8,0.625779621657871,0.666003942489624,0.6675079059322819
9,0.6255001101701979,0.6473098397254944,0.6679662954913009
10,0.6237605824356988,0.6309493184089661,0.6738841562026804
11,0.6102171332117111,0.6578946709632874,0.7288548501735701
12,0.5796751384697263,0.6168642640113831,0.7706919107118945
13,0.5461893301634562,0.5227484703063965,0.7882909795115319
14,0.5135516429704333,0.5264065861701965,0.809000916779118
15,0.4897944044972223,0.48199692368507385,0.818874318853717
16,0.4740209842012042,0.5308424234390259,0.8302619516064237
17,0.4607505883489336,0.4957713186740875,0.8254823391258665
18,0.4483794042515376,0.4862153232097626,0.8298035620474047
19,0.43669025055945865,0.493632435798645,0.8267751006911896
20,0.42435967874905417,0.48262619972229004,0.8166132737255225
21,0.4156758817178862,0.48305758833885193,0.8113598203524964
22,0.4003752099852713,0.5799363851547241,0.8240453651150095
23,0.3939894190619862,0.5018190145492554,0.8232161435531886
24,0.3792045221678794,0.548291027545929,0.8244883033405783
25,0.36211202754860833,0.5314270257949829,0.8065905087609061
