epoch,train_loss,val_loss,val_roc_auc_score
1,0.6487523232187543,0.653419017791748,0.6742086342051319
2,0.6362733708487617,0.6401867866516113,0.6717776244089866
3,0.6340268027214777,0.6351011991500854,0.6735184746443618
4,0.6302242033065312,0.6582157611846924,0.6738378022023299
5,0.6269351750139206,0.6394166350364685,0.6710771639592497
6,0.6267875078178587,0.633869469165802,0.6683963576056614
7,0.6280487950832124,0.6476078629493713,0.6711698719599501
8,0.6270496504647392,0.6516307592391968,0.6701346326187949
9,0.6261152525742849,0.6516436338424683,0.6755941037711555
10,0.6233905941720993,0.6456058621406555,0.6832167616065267
11,0.6205897378543067,0.6296210289001465,0.6787770784618713
12,0.6177106329372951,0.6399583220481873,0.6941511552446976
13,0.6090398329117942,0.6136332750320435,0.6984620772772691
14,0.5795111649093174,0.6200947165489197,0.7755024258593517
15,0.517634242063477,0.5059264302253723,0.8173188846197427
16,0.49275842190734925,0.46564748883247375,0.834830395863163
17,0.47400778792207204,0.49438920617103577,0.8306533853871588
18,0.4646169562188406,0.4860154092311859,0.8342638469699936
19,0.4576726451752678,0.45730409026145935,0.8403928759051907
20,0.44349495806391276,0.512036919593811,0.8381627334438962
21,0.44350792633162606,0.5216469764709473,0.8377300961072942
22,0.4347863992055257,0.5008153319358826,0.8379824678869787
23,0.42836064596970874,0.5012115240097046,0.8340320769682423
24,0.4192523317677634,0.5122888088226318,0.8270738264712245
25,0.4171372228671634,0.4662960171699524,0.8238444977801584
26,0.4092418835276649,0.4638683497905731,0.8316371202834805
27,0.4040372078380888,0.46197056770324707,0.8178287786235952
28,0.39761256237351705,0.47397443652153015,0.8239887102256924
29,0.38445206897126305,0.485154926776886,0.8221448511006499
