epoch,train_loss,val_loss,val_roc_auc_score
1,0.6552954628132284,0.6692283749580383,0.6237757044051432
2,0.6267774063162506,0.6444920301437378,0.6323370700459545
3,0.6221604878082871,0.6551574468612671,0.6360476720976652
4,0.6207203036174178,0.6612918972969055,0.6414960776122174
5,0.6173949385993183,0.6375380754470825,0.6478728589332963
6,0.6153765651397407,0.6440793871879578,0.6519403054356403
7,0.6155065349303186,0.644504725933075,0.6507334168871559
8,0.6090160151943564,0.6639636158943176,0.6689353850438658
9,0.6004366734996438,0.6260508298873901,0.6826231258413406
10,0.5869592393282801,0.6233522891998291,0.6994267279394699
11,0.5643610088154674,0.6116513013839722,0.7243594206934967
12,0.5368254915811121,0.5636491775512695,0.7454799702919741
13,0.5149062455166131,0.5692169070243835,0.7650338857169382
14,0.49514096113853157,0.5639757513999939,0.7814835445388293
15,0.47860926389694214,0.572301983833313,0.7984322053567284
16,0.46567227062769234,0.5222048163414001,0.8044608457503597
17,0.45606796513311565,0.5315685868263245,0.8159436940073342
18,0.4504883794579655,0.550984263420105,0.8202200250661468
19,0.43936257204040885,0.5138442516326904,0.8227846632316762
20,0.43228859966620803,0.48198893666267395,0.8310530102585527
21,0.4277260568924248,0.5063241124153137,0.8280241841897599
22,0.41934232297353446,0.5223875641822815,0.8312793018613934
23,0.4096905728802085,0.5425288081169128,0.8338207306317597
24,0.4045710562495515,0.5073478817939758,0.8295618066193196
25,0.3997957317624241,0.49574434757232666,0.8309369632827368
26,0.38858582719694823,0.5045427083969116,0.8256626282319082
27,0.38229814905207604,0.49702852964401245,0.82927168917978
28,0.3750303238630295,0.5284706950187683,0.8253841154899503
29,0.367106165853329,0.5083061456680298,0.8264865617602005
30,0.36066353146452457,0.565850555896759,0.8201271874854941
31,0.3538085022009909,0.5398234724998474,0.8280648006312955
32,0.34519974852446467,0.546066403388977,0.8210033421529035
33,0.33729847508948296,0.5285375118255615,0.8204521190177784
