epoch,train_loss,val_loss,val_roc_auc_score
1,0.6458084512883284,0.6353325843811035,0.6813437703848663
2,0.6277484785853409,0.6497917175292969,0.6824328059526574
3,0.624967081809607,0.6452059149742126,0.6768217851338354
4,0.6214403812810192,0.6312777996063232,0.6908465731312261
5,0.6204680617400041,0.6529678106307983,0.6989784072440214
6,0.6163611473060968,0.6524394750595093,0.7118588786803323
7,0.6169665779654435,0.6442884802818298,0.7049819231151946
8,0.6101559057949096,0.6349969506263733,0.7030139197541101
9,0.6092887084315143,0.6205055713653564,0.7109964951850255
10,0.608057216396482,0.6451616287231445,0.711615642309861
11,0.6027581405451917,0.6419451236724854,0.7268179154643051
12,0.5943657906036678,0.6424791216850281,0.7452043738321891
13,0.5822597054515298,0.6286390423774719,0.7725518812122018
14,0.5454907724707145,0.5133187174797058,0.7924696230941878
15,0.5089993397081931,0.6134558320045471,0.808158368989574
16,0.4813955782905338,0.514339804649353,0.818495914734596
17,0.4598467009743368,0.5255771279335022,0.8307959357413733
18,0.42888769742072097,0.564772367477417,0.8249195661547647
19,0.40792302036379263,0.48162171244621277,0.8275122447400135
20,0.3737169203795786,0.5166153311729431,0.8131668269815471
21,0.3480309955482408,0.5297459363937378,0.8226364611319337
22,0.3211936322957512,0.528290331363678,0.8093082136499828
23,0.2869941637975963,0.5334373116493225,0.7984344422700587
24,0.26540724487285916,0.5598428845405579,0.7966930909814587
25,0.23836579907128191,0.5177883505821228,0.7977102612579743
26,0.22231987629115113,0.5776141881942749,0.7937466140391611
27,0.19894122437933298,0.580185055732727,0.7998717480955697
