epoch,train_loss,val_loss,val_roc_auc_score
1,0.6559320778127701,0.6551437973976135,0.6643712852419164
2,0.6294625552873763,0.6472240686416626,0.6670340650398129
3,0.6291449325425285,0.6454445123672485,0.6710823144037331
4,0.6275592034771329,0.6492400765419006,0.6688676232758888
5,0.6248105929957496,0.6392505764961243,0.6711080666261499
6,0.6230478144827343,0.645267903804779,0.6711441197375334
7,0.6197513384478432,0.6266928911209106,0.6901595607700944
8,0.5925900165050749,0.6037047505378723,0.751228381009281
9,0.5408709061051172,0.5418125987052917,0.7977317442495288
10,0.5148767890438201,0.5284151434898376,0.8135487592579239
11,0.49494920883859905,0.5246322154998779,0.8207336293122096
12,0.4823033116639607,0.5346137285232544,0.8244316484512614
13,0.4739740604446048,0.5275343060493469,0.8259767817962691
14,0.46481774085097843,0.545796811580658,0.830941810278227
15,0.45915466192222776,0.5318175554275513,0.8307306420544092
16,0.4480904631671451,0.5363265872001648,0.8338054574109746
17,0.44342464492434547,0.5180088877677917,0.8279803047002957
18,0.4381585956092865,0.5157276391983032,0.8283665880365475
19,0.42920632305599393,0.5231167674064636,0.8267338971353229
20,0.4246306305839902,0.5094438791275024,0.8287116678169326
21,0.416880212842472,0.556455135345459,0.8242616837833106
22,0.41071596032097224,0.5277647376060486,0.8222375591013504
23,0.40674722833292826,0.5093575716018677,0.8282738800358471
24,0.39712088070218526,0.515132486820221,0.8245810113412788
25,0.3919023809924958,0.5513239502906799,0.8224693291031017
26,0.38495856819171753,0.5561020970344543,0.8222787626572172
